phone_number,flights_per_month,total_spent,avg_ticket_price,last_flight_days,intl_ratio,business_ratio,delays,cancellations,loyalty_points,baggage_score,checkin_score,satisfaction,travel_type,extra_baggage_tendency,next_booked_flight_days,refund_requests,lounge_visits,domestic_flight_ratio,marketing_consent
+9940508903173,5,229.21,38.2,233,0.141,0.055,0,0,44889,3,2,1,Leisure,3,10,1,0,0.859,0
+9940701558567,3,74.35,18.59,165,0.121,0.251,1,1,23330,1,1,0,Leisure,1,62,0,0,0.879,1
+9940704577690,2,320.95,106.98,90,0.735,0.277,0,0,26144,4,4,1,Leisure,3,40,0,0,0.265,1
+9940555124357,2,50.0,16.67,87,0.485,0.124,1,0,48770,5,1,1,Leisure,2,69,0,0,0.515,1
+9940558180913,1,236.96,118.48,282,0.777,0.064,0,0,14437,4,3,1,Leisure,3,60,0,0,0.223,0
+9940772161270,1,1526.84,763.42,3,0.648,0.905,1,0,47241,1,2,0,Business,1,61,0,2,0.352,0
+9940504906529,3,135.44,33.86,311,0.003,0.061,1,0,40548,5,5,1,Leisure,2,24,0,0,0.997,0
+9940702370940,0,239.55,239.55,295,0.504,0.204,1,0,36874,2,4,1,Leisure,2,82,1,0,0.496,0
+9940518088718,0,291.74,291.74,277,0.55,0.206,1,1,2400,4,3,1,Leisure,2,44,0,0,0.45,1
+9940506690544,0,286.7,286.7,275,0.137,0.24,1,0,1658,5,4,1,Leisure,2,84,1,0,0.863,0
+9940555470642,3,268.73,67.18,309,0.956,0.076,1,0,16631,2,1,0,Leisure,3,59,0,0,0.044,1
+9940774536346,0,279.82,279.82,41,0.798,0.096,0,4,3228,5,3,1,Leisure,1,3,0,0,0.202,1
+9940702378568,2,288.28,96.09,182,0.9,0.076,0,1,16876,4,1,1,Leisure,2,20,0,0,0.1,0
+9940709296671,4,143.4,28.68,199,0.597,0.192,1,0,48751,1,1,0,Leisure,3,52,0,0,0.403,1
+9940706828952,3,161.17,40.29,182,0.833,0.293,1,0,39507,2,2,0,Leisure,3,-4,0,0,0.167,1
+9940703872408,0,266.96,266.96,123,0.18,0.126,2,0,40518,5,1,1,Leisure,0,49,0,0,0.82,1
+9940554725433,1,308.71,154.35,317,0.854,0.101,1,0,29744,3,2,1,Leisure,1,74,0,0,0.146,1
+9940507535620,2,183.09,61.03,40,0.92,0.174,0,1,24407,5,5,1,Leisure,3,-3,1,0,0.08,0
+9940777476081,0,144.31,144.31,137,0.019,0.106,2,1,19845,3,4,1,Leisure,3,-3,0,0,0.981,0
+9940555149894,4,140.96,28.19,168,0.641,0.034,2,0,20017,3,4,1,Leisure,2,30,0,0,0.359,1
+9940553726103,1,114.72,57.36,65,0.095,0.149,1,0,20688,5,3,1,Leisure,1,84,1,0,0.905,0
+9940516939561,1,244.42,122.21,2,0.647,0.176,1,1,9149,5,5,1,Leisure,3,18,0,0,0.353,1
+9940506924095,1,310.75,155.38,302,0.896,0.13,0,0,2425,5,4,1,Leisure,0,22,0,0,0.104,1
