phone_number,trips,spend,app_ratio,cash_ratio,ticket_class,loyalty,delay,cancellations,group_travel,route_type,seasonal_traveler,heavy_luggage,marketing_consent
+9940508903173,1,84.88,0.68,0.32,Business,151,0,1,0,domestic,0,1,1
+9940701558567,1,30.28,0.382,0.618,Standard,130,2,0,0,domestic,0,0,1
+9940704577690,2,107.42,0.653,0.347,Business,176,1,1,0,international,0,0,1
+9940555124357,4,61.43,0.628,0.372,Business,628,1,0,0,domestic,1,0,1
+9940558180913,3,69.82,0.406,0.594,Standard,573,1,0,0,international,1,1,1
+9940772161270,3,10.0,0.089,0.911,Standard,594,0,1,1,international,0,1,1
+9940504906529,1,27.37,0.732,0.268,Business,80,1,0,0,international,0,0,0
+9940702370940,2,31.6,0.772,0.228,Business,166,1,1,0,domestic,0,1,1
+9940518088718,3,98.38,0.453,0.547,Standard,588,1,0,0,international,0,0,0
+9940506690544,3,10.0,0.745,0.255,Business,405,2,0,0,international,0,0,1
+9940555470642,1,34.57,0.3,0.7,Standard,140,0,1,1,domestic,0,0,1
+9940774536346,1,62.95,0.739,0.261,Business,65,1,0,0,nakhchivan,0,0,0
+9940702378568,2,74.82,0.48,0.52,Standard,334,2,0,0,nakhchivan,1,0,1
+9940709296671,1,84.98,0.616,0.384,Business,128,2,0,0,international,1,1,0
+9940706828952,1,72.2,0.267,0.733,Standard,115,1,0,1,domestic,0,0,1
+9940703872408,4,44.96,0.361,0.639,Standard,456,0,0,0,nakhchivan,0,1,1
+9940554725433,0,29.1,0.144,0.856,Standard,0,3,0,1,domestic,0,0,1
+9940507535620,1,107.38,0.495,0.505,Standard,102,2,0,0,nakhchivan,0,0,1
+9940777476081,0,83.17,0.942,0.058,Business,0,1,1,0,domestic,1,0,1
+9940555149894,0,57.51,0.14,0.86,Standard,0,0,0,0,nakhchivan,1,0,1
+9940553726103,2,40.03,0.09,0.91,Standard,380,0,0,0,nakhchivan,1,0,1
+9940516939561,2,57.58,0.871,0.129,Business,270,0,0,0,international,0,0,1
+9940506924095,0,51.85,0.71,0.29,Business,0,1,0,0,domestic,0,0,1
+9940776397257,1,49.1,0.432,0.568,Standard,109,1,0,0,domestic,0,0,1
+9940701655669,6,37.27,0.147,0.853,Standard,516,1,0,0,domestic,0,1,0
+9940705255055,2,89.04,0.329,0.671,Standard,166,2,0,0,domestic,0,0,1
+9940556525271,1,43.51,0.383,0.617,Standard,80,3,0,1,domestic,0,0,1
+9940779550548,5,48.13,0.545,0.455,Standard,675,1,0,0,international,0,0,1
+9940555730067,0,88.56,0.698,0.302,Business,0,1,0,1,nakhchivan,0,0,1
+9940554084422,1,69.6,0.322,0.678,Standard,121,1,0,1,domestic,1,1,1
+9940556002136,2,105.09,0.804,0.196,Business,132,2,0,0,international,1,1,1
+9940512595119,1,10.0,0.498,0.502,Standard,117,0,0,1,international,0,0,1
+9940501816258,0,58.33,0.33,0.67,Standard,0,0,0,0,domestic,1,0,1
+9940557102845,3,60.96,0.297,0.703,Standard,588,0,0,1,international,1,1,1
+9940779875650,1,75.03,0.147,0.853,Standard,120,2,0,0,domestic,0,1,1
+9940508614067,1,55.07,0.727,0.273,Business,155,0,1,0,international,0,0,1
+9940776252955,1,67.63,0.202,0.798,Standard,63,1,0,0,nakhchivan,0,1,0
+9940771362283,1,85.22,0.441,0.559,Standard,168,0,1,0,domestic,0,1,1
+9940519891738,2,38.5,0.721,0.279,Business,120,1,1,1,domestic,0,0,1
+9940705046693,1,85.38,0.114,0.886,Standard,98,0,0,0,nakhchivan,0,1,1
+9940503606968,2,40.4,0.408,0.592,Standard,190,1,1,0,nakhchivan,1,1,0
+9940709032388,2,64.28,0.458,0.542,Standard,248,2,1,0,international,0,1,1
+9940707717624,4,10.29,0.398,0.602,Standard,360,1,0,0,nakhchivan,1,1,1
+9940517746566,3,19.48,0.764,0.236,Business,534,1,0,0,domestic,0,0,1
+9940503499777,1,39.36,0.335,0.665,Standard,138,1,0,0,international,1,0,1
+9940779926268,2,18.34,0.442,0.558,Standard,286,1,1,1,domestic,1,0,0
+9940555075807,2,52.49,0.843,0.157,Business,346,1,0,0,domestic,1,1,1
+9940775782723,1,93.14,0.736,0.264,Business,89,1,0,0,nakhchivan,0,0,0
+9940707758616,1,54.47,0.419,0.581,Standard,130,0,0,0,domestic,0,0,1
+9940706939960,3,66.07,0.67,0.33,Business,186,0,0,0,international,0,0,0
+9940702550583,1,119.73,0.169,0.831,Standard,192,2,0,0,nakhchivan,0,0,1
+9940503722322,2,67.16,0.487,0.513,Standard,386,3,0,1,domestic,1,0,0
+9940514250670,4,61.55,0.573,0.427,Standard,484,1,0,1,domestic,0,0,1
+9940559527819,0,31.09,0.974,0.026,Business,0,1,0,1,nakhchivan,0,1,1
+9940557430552,1,68.65,0.147,0.853,Standard,197,0,1,0,domestic,0,0,1
+9940504297019,1,85.66,0.82,0.18,Business,144,1,0,0,domestic,0,1,1
+9940557612500,2,40.38,0.661,0.339,Business,188,1,0,1,domestic,1,0,1
+9940507646595,2,67.5,0.114,0.886,Standard,208,2,0,0,domestic,1,0,0
+9940704547994,3,22.64,0.511,0.489,Standard,288,3,0,0,nakhchivan,1,0,1
+9940704628261,6,70.68,0.818,0.182,Business,438,2,0,0,domestic,1,1,1
+9940779048642,4,50.09,0.534,0.466,Standard,540,1,0,0,international,0,1,0
+9940706056369,1,73.91,0.803,0.197,Business,57,1,0,1,domestic,0,0,1
+9940512345640,3,10.0,0.571,0.429,Standard,441,2,0,0,nakhchivan,1,0,1
+9940777478042,2,58.96,0.47,0.53,Standard,124,2,0,0,nakhchivan,1,1,1
+9940556306111,2,83.87,0.061,0.939,Standard,224,0,0,0,nakhchivan,0,1,1
+9940515580406,1,74.63,0.684,0.316,Business,145,0,1,0,domestic,0,0,1
+9940777525937,2,53.69,0.602,0.398,Business,160,2,0,0,domestic,0,0,1
+9940519163776,2,10.0,0.869,0.131,Business,194,1,0,0,domestic,1,0,1
+9940503973925,1,100.05,0.857,0.143,Business,125,0,0,0,international,1,1,0
+9940554773708,1,28.96,0.368,0.632,Standard,179,1,0,0,international,0,0,1
+9940702705456,2,89.91,0.692,0.308,Business,272,2,0,0,domestic,0,1,1
+9940506823645,1,35.75,0.465,0.535,Standard,138,2,0,0,domestic,0,1,1
+9940554624424,2,28.67,0.391,0.609,Standard,276,1,1,1,domestic,1,0,0
+9940504081261,2,54.76,0.554,0.446,Standard,214,2,0,1,international,0,0,1
+9940707268708,2,13.07,0.502,0.498,Standard,182,1,0,0,nakhchivan,0,0,1
+9940554673409,1,22.67,0.342,0.658,Standard,193,1,1,0,international,0,1,1
+9940515179310,2,93.69,0.635,0.365,Business,140,3,1,0,domestic,1,0,0
+9940514960450,4,85.98,0.596,0.404,Standard,600,1,0,0,domestic,0,0,0
+9940553326843,0,31.67,0.854,0.146,Business,0,2,0,0,domestic,0,0,1
+9940702132263,6,42.28,0.537,0.463,Standard,1002,1,0,0,international,1,1,1
+9940778445103,0,10.0,0.226,0.774,Standard,0,1,1,0,domestic,0,1,0
+9940551825513,0,47.16,0.667,0.333,Business,0,0,0,0,domestic,1,0,1
+9940503923909,3,42.33,0.59,0.41,Standard,270,0,0,1,domestic,1,1,1
+9940777007408,2,104.34,0.352,0.648,Standard,296,0,0,0,domestic,1,1,1
+9940702181654,2,62.96,0.467,0.533,Standard,262,0,0,0,domestic,0,0,1
+9940706899658,0,62.98,0.226,0.774,Standard,0,1,0,0,nakhchivan,1,0,0
+9940507597593,1,72.43,0.423,0.577,Standard,95,0,0,0,international,0,0,1
+9940516966186,2,43.99,0.368,0.632,Standard,148,0,0,1,nakhchivan,0,1,1
+9940703745293,1,79.12,0.392,0.608,Standard,75,1,0,0,nakhchivan,1,0,1
+9940771177897,0,74.69,0.674,0.326,Business,0,2,1,0,nakhchivan,0,1,1
+9940558986169,3,66.7,0.86,0.14,Business,321,0,0,0,nakhchivan,0,0,1
+9940773938921,1,72.95,0.227,0.773,Standard,83,1,0,0,domestic,0,0,1
+9940778245054,0,121.38,0.811,0.189,Business,0,1,0,0,domestic,1,0,1
+9940512780288,3,10.0,0.237,0.763,Standard,375,2,1,0,nakhchivan,0,0,1
+9940772461694,0,24.15,0.677,0.323,Business,0,0,0,1,domestic,1,0,1
+9940518003362,2,46.04,0.066,0.934,Standard,164,2,0,1,nakhchivan,1,0,1
+9940519457586,6,85.95,0.394,0.606,Standard,420,1,2,0,domestic,0,0,1
+9940708745672,2,61.12,0.058,0.942,Standard,250,1,0,1,nakhchivan,1,0,1
+9940707761214,3,80.87,0.783,0.217,Business,342,0,0,0,nakhchivan,0,0,1
+9940503220123,1,55.85,0.375,0.625,Standard,152,1,0,1,domestic,0,1,1
+9940779218893,3,38.39,0.503,0.497,Standard,204,1,0,1,nakhchivan,0,1,0
+9940507010641,1,80.07,0.57,0.43,Standard,63,2,0,0,international,0,0,1
+9940772549480,2,49.41,0.207,0.793,Standard,114,3,1,1,international,0,1,1
+9940502164265,4,91.94,0.23,0.77,Standard,620,1,0,0,domestic,0,0,1
+9940708840455,2,23.35,0.76,0.24,Business,166,0,1,0,domestic,1,0,1
+9940703476372,0,101.56,0.651,0.349,Business,0,1,0,1,international,0,0,0
+9940707893030,1,84.84,0.735,0.265,Business,94,0,0,0,nakhchivan,0,1,1
+9940702247890,2,52.9,0.809,0.191,Business,366,0,0,0,international,1,0,0
+9940553524850,1,21.55,0.412,0.588,Standard,67,1,0,0,domestic,1,1,0
+9940703551686,2,42.58,0.433,0.567,Standard,170,0,0,1,domestic,0,0,1
+9940513529937,1,53.32,0.931,0.069,Business,172,1,0,0,domestic,0,0,1
+9940707072628,2,92.07,0.538,0.462,Standard,184,1,1,1,international,1,1,1
+9940559229499,2,54.24,0.756,0.244,Business,330,3,1,0,international,0,1,1
+9940559192941,3,84.05,0.338,0.662,Standard,171,2,0,1,domestic,0,1,0
+9940557673952,4,40.93,0.446,0.554,Standard,376,1,1,0,nakhchivan,0,0,1
+9940552822701,4,54.06,0.303,0.697,Standard,764,0,0,1,domestic,1,0,0
+9940509645219,4,56.27,0.593,0.407,Standard,332,1,0,0,nakhchivan,0,0,1
+9940505878710,2,137.89,0.304,0.696,Standard,374,1,0,0,domestic,1,0,1
+9940515913702,1,95.15,0.64,0.36,Business,92,0,1,0,domestic,1,0,1
+9940507312519,0,77.7,0.363,0.637,Standard,0,1,0,1,nakhchivan,1,1,0
+9940557921858,2,73.9,0.517,0.483,Standard,192,0,0,0,nakhchivan,1,0,1
+9940709576301,0,100.06,0.574,0.426,Standard,0,1,0,0,domestic,0,0,1
+9940706241415,2,13.28,0.279,0.721,Standard,274,3,0,0,domestic,0,1,1
+9940556490543,4,10.0,0.647,0.353,Business,416,0,0,0,domestic,0,1,1
+9940777709750,3,69.59,0.184,0.816,Standard,345,1,0,0,domestic,1,0,0
+9940553295962,1,49.05,0.172,0.828,Standard,144,1,1,0,domestic,1,0,1
+9940503769415,1,36.56,0.713,0.287,Business,163,2,0,0,domestic,1,1,0
+9940706629302,1,81.15,0.583,0.417,Standard,143,2,0,1,international,0,0,1
+9940551577154,2,10.0,0.787,0.213,Business,122,2,0,0,international,0,0,0
+9940703884420,3,90.73,0.872,0.128,Business,459,0,1,1,nakhchivan,0,0,0
+9940557461961,0,104.71,0.759,0.241,Business,0,0,0,0,domestic,0,1,1
+9940559785154,3,25.3,0.46,0.54,Standard,513,0,1,1,international,0,0,0
+9940505675466,2,112.15,0.688,0.312,Business,184,0,1,0,international,0,0,0
+9940554597084,5,89.19,0.335,0.665,Standard,475,0,0,0,domestic,0,0,0
+9940704963387,2,50.85,0.732,0.268,Business,294,2,0,1,domestic,1,0,1
+9940517168848,2,54.0,0.827,0.173,Business,152,1,0,0,international,0,0,1
+9940705900274,2,60.69,0.374,0.626,Standard,322,0,0,0,domestic,1,0,1
+9940501209048,1,66.07,0.521,0.479,Standard,116,1,0,1,domestic,0,1,1
+9940515853159,2,72.62,0.838,0.162,Business,388,0,1,0,domestic,1,0,0
+9940554600552,2,115.88,0.601,0.399,Business,126,2,0,0,domestic,1,1,1
+9940777307214,0,42.16,0.615,0.385,Business,0,2,0,0,nakhchivan,0,0,1
+9940518875967,1,59.95,0.622,0.378,Business,93,2,0,0,domestic,0,0,1
+9940519662035,3,66.23,0.534,0.466,Standard,291,1,0,0,domestic,0,0,1
+9940556492046,2,14.96,0.72,0.28,Business,366,1,0,0,domestic,1,0,1
+9940774263058,1,75.61,0.737,0.263,Business,195,0,1,0,domestic,0,0,1
+9940774995485,2,46.63,0.091,0.909,Standard,260,1,0,0,domestic,1,1,1
+9940502588154,0,74.55,0.367,0.633,Standard,0,1,0,0,domestic,0,0,0
+9940519423436,1,54.02,0.207,0.793,Standard,137,0,1,0,domestic,0,0,1
+9940778625803,5,90.87,0.384,0.616,Standard,450,1,0,1,domestic,0,1,0
+9940508685858,3,11.95,0.064,0.936,Standard,432,0,0,0,nakhchivan,0,0,1
+9940773953110,1,10.0,0.31,0.69,Standard,131,0,0,0,domestic,1,0,1
+9940513899940,2,93.38,0.396,0.604,Standard,282,3,0,0,nakhchivan,1,0,1
+9940778709519,4,50.64,0.561,0.439,Standard,456,3,0,0,nakhchivan,0,1,0
+9940515900935,1,87.37,0.589,0.411,Standard,111,1,0,0,domestic,0,1,1
+9940557341904,1,161.88,0.251,0.749,Standard,153,1,0,0,nakhchivan,1,1,1
+9940705408417,0,49.53,0.822,0.178,Business,0,1,0,0,domestic,0,0,1
+9940504984931,3,47.77,0.817,0.183,Business,384,0,0,0,international,0,0,0
+9940556689821,1,67.61,0.897,0.103,Business,164,0,0,1,domestic,0,1,1
+9940558316828,1,14.97,0.855,0.145,Business,90,1,0,0,international,1,1,1
+9940704007001,3,47.77,0.45,0.55,Standard,168,1,0,1,nakhchivan,0,0,0
+9940778282305,3,82.33,0.451,0.549,Standard,567,1,0,0,domestic,1,0,0
+9940703197844,2,48.59,0.183,0.817,Standard,160,4,0,0,nakhchivan,0,0,1
+9940554625447,0,57.98,0.717,0.283,Business,0,2,0,0,nakhchivan,0,0,1
+9940559214045,4,10.0,0.494,0.506,Standard,308,1,0,1,domestic,0,1,1
+9940559590077,2,83.12,0.942,0.058,Business,154,1,1,0,international,0,0,1
+9940779314869,1,102.3,0.291,0.709,Standard,53,0,0,1,domestic,1,0,0
+9940513844396,1,10.0,0.505,0.495,Standard,60,1,0,0,nakhchivan,0,0,1
+9940508589905,3,74.96,0.382,0.618,Standard,384,0,0,0,international,0,1,1
+9940519424784,5,89.72,0.548,0.452,Standard,800,1,1,1,domestic,0,0,1
+9940509803838,1,64.52,0.852,0.148,Business,96,1,0,0,domestic,1,0,1
+9940501188130,2,69.78,0.269,0.731,Standard,358,1,0,1,domestic,0,0,1
+9940507704922,0,101.99,0.357,0.643,Standard,0,2,1,0,international,0,1,1
+9940709970710,0,115.31,0.502,0.498,Standard,0,0,0,0,domestic,1,0,1
+9940707882004,2,67.96,0.612,0.388,Business,348,2,1,1,nakhchivan,0,0,0
+9940703098569,1,24.8,0.427,0.573,Standard,76,1,1,0,international,0,0,1
+9940557863310,0,51.95,0.582,0.418,Standard,0,0,0,0,domestic,0,0,0
+9940701947197,2,64.61,0.4,0.6,Standard,336,1,1,0,nakhchivan,0,0,1
+9940505325468,3,23.19,0.745,0.255,Business,426,1,0,0,domestic,1,0,1
+9940776636047,4,78.81,0.157,0.843,Standard,796,1,0,0,international,1,1,0
+9940555108069,2,32.87,0.057,0.943,Standard,168,1,0,0,nakhchivan,0,0,1
+9940777298501,4,115.9,0.363,0.637,Standard,464,0,0,0,domestic,0,0,1
+9940503162036,3,20.61,0.511,0.489,Standard,246,0,0,1,domestic,0,0,1
+9940556455984,1,134.2,0.201,0.799,Standard,128,0,0,0,nakhchivan,1,0,0
+9940706803372,2,25.82,0.733,0.267,Business,230,1,0,0,domestic,0,0,1
+9940556704164,2,10.0,0.763,0.237,Business,190,3,0,0,nakhchivan,1,1,0
+9940553603880,2,96.22,0.176,0.824,Standard,364,0,0,1,domestic,1,0,0
+9940503748434,2,32.34,0.635,0.365,Business,366,1,1,0,international,0,0,1
+9940513320275,2,70.82,0.276,0.724,Standard,176,1,0,1,nakhchivan,0,1,0
+9940515155993,3,65.92,0.61,0.39,Business,222,3,1,0,domestic,1,0,0
+9940516273651,2,23.01,0.149,0.851,Standard,312,1,0,0,domestic,0,1,0
+9940704262823,2,10.0,0.307,0.693,Standard,382,2,0,0,domestic,0,0,1
+9940704689841,1,47.9,0.226,0.774,Standard,195,1,0,0,domestic,0,0,0
+9940703577702,2,78.1,0.493,0.507,Standard,148,0,0,1,domestic,1,1,1
+9940512969709,3,48.74,0.298,0.702,Standard,579,0,0,0,domestic,1,1,1
