phone_number,parcels_sent,parcels_received,avg_parcel_value,intl_shipments,delivery_delay,lost_parcels,pickup_usage,home_delivery_ratio,business_client,visa_card,preferred_delivery_method,money_transfers_frequency,ecommerce_shipper,utility_payments_at_branch,international_destination,shipment_cancelled_lastmin,marketing_consent
+9940508903173,5,4,86.98,1,2,0,0,0.211,0,1,branch,0,0,4,Russia,0,1
+9940701558567,5,3,102.87,0,1,0,1,0.644,0,0,home,0,0,1,Turkey,0,0
+9940704577690,10,6,72.84,2,1,0,1,0.636,1,1,home,0,0,2,Turkey,0,0
+9940555124357,2,7,81.13,0,0,0,0,0.055,0,1,branch,1,0,4,Turkey,0,0
+9940558180913,3,2,71.32,2,3,0,0,0.828,0,0,home,1,0,1,UAE,0,1
+9940772161270,3,5,104.93,1,1,0,0,0.158,0,0,branch,2,0,4,Turkey,0,1
+9940504906529,7,4,122.2,0,0,0,1,0.146,0,1,branch,2,0,0,Turkey,0,1
+9940702370940,7,4,81.4,1,4,0,1,0.344,0,1,branch,0,0,0,Turkey,0,0
+9940518088718,8,4,98.36,1,2,0,0,0.161,1,0,branch,1,0,2,UK,0,0
+9940506690544,4,4,82.65,0,0,0,0,0.643,0,1,home,1,0,3,Turkey,0,1
+9940555470642,3,7,110.77,2,0,0,1,0.248,0,0,branch,2,0,2,Turkey,0,1
+9940774536346,3,6,173.02,1,0,0,1,0.0,0,1,branch,0,0,1,UAE,0,0
+9940702378568,7,5,79.66,1,0,0,0,0.734,0,0,home,0,0,2,Turkey,0,0
+9940709296671,3,6,44.53,1,1,0,0,0.834,0,1,home,0,0,1,UAE,1,1
+9940706828952,5,8,161.59,0,2,0,0,0.808,0,0,home,2,0,1,Turkey,0,0
+9940703872408,7,6,155.04,0,1,0,0,0.039,0,0,branch,1,0,3,Turkey,1,0
+9940554725433,12,6,138.43,1,2,1,0,0.287,1,0,branch,3,1,2,Russia,1,0
+9940507535620,7,6,141.8,0,0,0,0,0.97,0,0,home,0,0,0,Turkey,0,1
+9940777476081,2,5,17.62,1,3,0,1,0.712,0,1,home,2,0,0,UAE,0,0
+9940555149894,4,3,73.33,1,1,0,0,0.854,0,0,home,0,0,4,Turkey,0,1
+9940553726103,8,2,89.24,0,2,0,0,0.31,1,0,branch,0,0,0,Germany,0,1
+9940516939561,2,1,90.74,0,1,0,0,0.028,0,1,branch,0,0,4,Russia,0,0
