phone_number,verified,login_freq,services,security_alerts,backup_usage,digital_literacy_score,primary_document_types,biometric_enabled,sso_usage,data_sync_frequency,govt_services_usage,digital_signature_used,marketing_consent
+9940508903173,1,33.5,6,1,0,Medium,Business,1,0,Weekly,5,1,1
+9940701558567,0,16.5,3,0,0,Medium,Banking,0,0,Never,6,1,1
+9940704577690,0,33.6,6,0,0,Medium,Personal,1,0,Daily,0,0,1
+9940555124357,1,24.7,6,0,0,Medium,Banking,1,0,Never,5,1,1
+9940558180913,0,19.6,4,0,0,Low,Business,0,0,Daily,2,4,1
+9940772161270,1,10.3,0,1,0,Medium,Banking,0,0,Never,4,1,1
+9940504906529,1,37.1,7,0,0,Medium,Personal,1,1,Weekly,9,1,1
+9940702370940,0,39.0,7,3,1,Medium,Banking,1,1,Daily,0,0,1
+9940518088718,0,28.3,4,0,0,High,Personal,0,0,Daily,3,0,1
+9940506690544,1,35.2,7,2,0,High,Personal,1,1,Weekly,5,0,1
+9940555470642,0,15.9,2,2,1,Medium,Personal,0,0,Weekly,3,0,1
+9940774536346,1,34.1,7,0,1,High,Banking,1,1,Daily,0,0,1
+9940702378568,1,25.5,4,0,1,Medium,Business,0,0,Daily,1,1,1
+9940709296671,1,28.3,6,0,1,Medium,Business,1,0,Daily,7,2,1
+9940706828952,0,16.4,2,0,1,Low,Business,0,0,Weekly,4,1,1
+9940703872408,0,16.5,3,0,1,Low,Business,0,0,Weekly,1,3,1
+9940554725433,1,19.4,1,0,1,High,Banking,0,0,Daily,7,2,1
+9940507535620,0,24.8,4,0,0,High,Business,0,0,Daily,2,0,0
+9940777476081,1,46.3,9,0,0,High,Personal,1,1,Never,4,0,1
+9940555149894,0,8.3,1,1,0,Low,Banking,0,0,Daily,3,1,1
+9940553726103,0,6.3,0,0,1,High,Government,0,0,Daily,6,0,1
+9940516939561,1,40.2,8,2,0,High,Personal,1,1,Daily,1,0,1
+9940506924095,1,28.7,7,0,1,High,Business,1,1,Never,9,2,1
+9940776397257,1,22.8,4,0,0,High,Personal,0,0,Never,8,1,1
+9940701655669,1,9.8,1,0,1,Low,Government,0,0,Weekly,8,1,0
+9940705255055,1,24.2,3,0,1,Medium,Personal,0,0,Daily,2,1,1
+9940556525271,1,19.2,3,0,0,Medium,Business,0,0,Weekly,4,2,1
+9940779550548,1,25.2,5,0,0,High,Personal,0,0,Weekly,3,0,1
+9940555730067,1,34.8,6,0,0,Low,Business,1,0,Daily,4,2,1
+9940554084422,0,16.2,3,1,1,Medium,Government,0,0,Never,2,2,1
+9940556002136,1,37.9,8,1,1,Medium,Personal,1,1,Never,1,0,1
+9940512595119,0,25.9,4,0,0,Medium,Personal,0,0,Weekly,2,2,1
+9940501816258,0,20.7,3,1,1,High,Banking,0,0,Weekly,8,2,1
+9940557102845,0,17.2,2,0,0,Low,Personal,0,0,Daily,0,2,1
+9940779875650,0,10.8,1,1,1,High,Personal,0,0,Daily,2,0,1
+9940508614067,1,33.9,7,1,1,Medium,Business,1,1,Weekly,8,2,1
+9940776252955,0,7.9,2,0,0,High,Government,0,0,Daily,9,2,0
+9940771362283,0,27.6,4,1,1,High,Government,0,0,Weekly,3,0,1
+9940519891738,1,30.3,7,0,1,High,Banking,1,1,Daily,5,0,1
+9940705046693,1,7.7,1,0,0,Medium,Personal,0,0,Daily,1,3,0
+9940503606968,1,20.2,4,1,0,High,Banking,0,0,Daily,3,2,0
+9940709032388,1,27.0,4,0,0,Medium,Government,0,0,Daily,0,3,1
+9940707717624,1,20.8,3,0,1,Medium,Banking,0,0,Daily,8,2,0
+9940517746566,1,37.4,7,0,0,Medium,Business,1,1,Weekly,1,2,0
+9940503499777,1,16.5,3,0,1,Medium,Banking,0,0,Never,4,0,0
+9940779926268,0,19.0,4,0,1,High,Business,0,0,Daily,1,0,1
+9940555075807,1,36.0,8,2,0,High,Business,1,1,Never,5,1,1
+9940775782723,0,36.5,7,1,0,High,Personal,1,1,Never,3,0,1
+9940707758616,0,22.3,4,0,0,Medium,Business,0,0,Daily,5,0,1
+9940706939960,1,32.0,6,0,1,Low,Banking,1,0,Never,0,0,1
+9940702550583,0,20.3,1,2,1,Medium,Business,0,0,Never,2,1,1
+9940503722322,0,28.9,4,0,1,Medium,Government,0,0,Daily,2,0,0
+9940514250670,1,28.1,5,2,0,Low,Business,1,0,Daily,5,0,1
+9940559527819,0,40.2,9,1,0,High,Personal,1,1,Daily,2,1,1
+9940557430552,1,15.9,1,2,1,Medium,Business,0,0,Weekly,4,1,1
+9940504297019,1,40.1,8,0,1,Low,Personal,1,1,Never,0,2,0
+9940557612500,0,26.1,6,0,0,Low,Government,1,0,Weekly,9,1,0
+9940507646595,0,8.6,1,1,1,High,Government,0,0,Daily,3,4,1
+9940704547994,1,24.3,5,1,0,Medium,Personal,0,0,Weekly,9,0,1
