phone_number,monthly_spend,data_usage_gb,speed_mbps,support_calls,complaints,downtime_hours,payment_delay_days,device_count,plan_upgrade_count,contract_type,region,tenure_months,churn_status,cltv,payment_status,service_type,average_monthly_usage_gb,peak_usage_time,installation_address_airport_km,customer_satisfaction_score,smart_home_devices,azcloud_subscriber,marketing_consent
+9940508903173,89.28,207.6,100,0,2,4.62,0,2,2,0,4,27,0,2410.55,paid,Cable,223.9,evening,1.7,2,1,1,1
+9940701558567,79.5,106.8,200,1,1,2.72,2,3,0,0,1,24,0,1908.0,paid,GPON,95.9,evening,4.7,3,1,0,1
+9940704577690,68.69,165.8,100,2,0,1.81,0,1,2,0,2,23,0,1579.77,paid,Cable,142.3,evening,7.2,1,1,1,1
+9940555124357,65.87,207.5,20,0,4,0.02,1,3,2,1,4,16,0,1053.87,paid,ADSL,177.5,afternoon,1.0,4,1,0,1
+9940558180913,11.23,129.2,100,2,1,1.05,1,1,2,1,1,17,0,190.96,unpaid,Cable,118.1,morning,1.0,1,3,0,1
+9940772161270,96.7,42.4,50,1,0,1.44,2,2,0,0,3,33,1,3191.14,paid,GPON,72.4,evening,29.7,1,0,0,1
+9940504906529,100.45,247.7,20,2,5,1.65,2,3,1,1,3,32,0,3214.5,paid,ADSL,267.1,night,8.7,4,1,1,1
+9940702370940,70.13,224.7,100,2,1,2.89,1,2,1,0,2,22,0,1542.94,paid,GPON,254.7,evening,40.2,3,0,1,0
+9940518088718,107.72,129.1,50,2,4,1.93,0,3,0,0,2,25,0,2692.91,paid,Cable,126.9,night,7.0,1,1,0,1
+9940506690544,69.45,282.9,200,2,1,0.1,1,2,1,1,4,18,0,1250.03,paid,GPON,285.0,evening,6.7,4,1,1,1
+9940555470642,113.35,52.1,200,0,1,1.1,1,3,2,0,2,29,0,3287.01,paid,Cable,22.1,night,4.3,4,1,0,1
+9940774536346,138.12,146.9,100,1,2,2.3,1,1,1,0,3,48,0,6629.63,paid,ADSL,116.9,evening,5.8,5,0,1,1
+9940702378568,51.19,166.2,100,2,1,2.8,1,1,1,0,4,20,0,1023.84,unpaid,GPON,163.3,night,6.1,5,1,0,1
+9940709296671,42.19,159.7,50,0,3,2.99,0,5,1,0,1,17,0,717.26,paid,Cable,132.2,afternoon,4.7,3,0,0,0
+9940706828952,125.63,36.9,20,4,1,1.24,1,2,1,0,4,40,1,5025.03,paid,5G,19.8,night,8.7,5,0,0,1
+9940703872408,106.91,143.8,20,0,0,0.25,1,4,0,0,4,33,0,3527.93,paid,Cable,144.6,evening,32.4,3,0,0,1
+9940554725433,116.89,37.4,50,0,0,0.54,1,1,1,0,1,36,0,4207.95,paid,Cable,62.9,evening,5.3,4,0,0,1
+9940507535620,122.61,97.9,50,1,1,5.51,0,1,0,0,1,41,0,5026.87,paid,ADSL,98.1,evening,1.2,1,1,0,1
+9940777476081,12.21,360.1,200,0,1,3.44,1,4,2,1,3,11,1,134.33,paid,ADSL,332.9,evening,3.1,3,1,1,0
+9940555149894,74.53,10.0,50,4,0,2.27,2,2,1,0,4,18,0,1341.62,paid,GPON,-20.0,night,7.6,2,0,0,1
+9940553726103,84.25,23.6,20,2,1,4.68,0,2,0,1,4,25,0,2106.15,paid,ADSL,26.0,night,14.3,5,0,0,1
+9940516939561,88.73,185.7,200,1,0,1.04,2,1,0,0,1,22,0,1951.98,unpaid,Cable,173.1,evening,28.4,4,0,1,1
+9940506924095,78.14,223.8,200,2,0,0.39,1,2,1,0,3,28,0,2187.99,paid,GPON,226.1,afternoon,1.8,4,0,1,1
+9940776397257,125.29,103.9,50,1,1,0.03,1,2,0,0,2,34,0,4259.9,paid,ADSL,99.8,evening,10.7,4,0,0,1
+9940701655669,13.4,76.8,20,1,2,0.84,3,4,0,0,3,12,0,160.84,paid,Cable,75.4,evening,11.3,4,1,0,1
+9940705255055,109.73,97.9,20,0,0,1.09,0,5,1,0,3,28,0,3072.41,overdue,GPON,121.9,evening,9.4,1,1,0,0
+9940556525271,110.18,168.8,100,0,1,1.45,1,1,1,1,3,35,1,3856.18,paid,Cable,189.9,morning,56.2,2,1,0,0
+9940779550548,77.85,146.4,200,1,0,2.13,0,1,2,1,3,32,0,2491.13,paid,ADSL,153.8,evening,4.4,5,0,0,0
+9940555730067,75.56,145.2,50,2,0,1.43,1,4,2,0,1,26,0,1964.56,paid,5G,127.3,evening,2.5,4,0,1,1
+9940554084422,126.03,106.1,20,2,2,0.91,1,5,2,0,3,43,0,5419.41,paid,GPON,95.1,afternoon,1.0,5,2,0,1
+9940556002136,84.31,231.2,50,1,0,1.09,1,2,2,0,1,22,0,1854.72,paid,GPON,246.5,morning,17.5,1,0,1,0
+9940512595119,17.06,76.6,20,1,1,1.94,1,5,1,0,2,2,0,34.12,paid,ADSL,102.6,morning,10.9,1,2,0,0
