phone_number,monthly_spend,total_spent,avg_parcel_value,cltv,support_calls,downtime_hours,payment_delay_days,complaints,flights_per_month,trips,intl_ratio,extra_baggage_tendency,next_booked_flight_days,last_flight_days,login_freq,verified,app_ratio,digital_literacy_score_enc,biometric_enabled,sso_usage,loyalty_points,loyalty,parcels_sent,intl_shipments,money_transfers_frequency,data_usage_gb,speed_mbps,device_count,tenure_months,customer_satisfaction_score,smart_home_devices,services,security_alerts,digital_signature_used,govt_services_usage,revenue_score,risk_score,digital_score,loyalty_score,mobility_score,cross_sell_potential,travel_imminent,high_data_user,is_business_persona,churn_score,cluster,segment,churn_tier
+9940508903173,89.28,229.21,86.98,2410.55,0,4.62,0,2,5,1,0.141,3,10,233,33.5,1,0.68,1,1,0,44889,151,5,1,0,207.6,100,2,27,2,1,6,1,1,5,361.98,6.62,60.1,45064.1055,16.705,18.099,1,0,1,0.08732312231149224,0,Digital Power User,🟢 Loyal
+9940701558567,79.5,74.35,102.87,1908.0,1,2.72,2,1,3,1,0.121,1,62,165,16.5,0,0.382,1,0,0,23330,130,5,0,0,106.8,200,3,24,3,1,3,0,1,6,205.285,5.720000000000001,24.14,23479.08,10.605,8.2114,0,0,0,0.20249387494250579,1,Standard,🟢 Loyal
+9940704577690,68.69,320.95,72.84,1579.77,2,1.81,0,0,2,2,0.735,3,40,90,33.6,0,0.653,1,1,0,26144,176,10,2,0,165.8,100,1,23,1,1,6,0,0,0,426.06,4.8100000000000005,51.660000000000004,26335.7977,11.675,17.0424,0,0,1,0.13703594642797795,0,Digital Power User,🟢 Loyal
+9940555124357,65.87,50.0,81.13,1053.87,0,0.02,1,4,2,4,0.485,2,69,87,24.7,1,0.628,1,1,0,48770,628,2,0,1,207.5,20,3,16,4,1,6,0,1,5,156.435,1.02,50.26,49408.5387,12.425,7.82175,0,0,1,0.08069804244118639,0,Digital Power User,🟢 Loyal
+9940558180913,11.23,236.96,71.32,190.96,2,1.05,1,1,1,3,0.777,3,60,282,19.6,0,0.406,0,0,0,14437,573,3,2,1,129.2,100,1,17,1,3,4,0,4,2,283.85,6.05,27.720000000000002,15011.9096,9.885,11.354000000000001,0,0,1,0.1834826571347585,3,Standard,🟢 Loyal
+9940772161270,96.7,1526.84,104.93,3191.14,1,1.44,2,0,1,3,0.648,1,61,3,10.3,1,0.089,1,0,0,47241,594,3,1,2,42.4,50,2,33,1,0,0,1,1,4,1676.0049999999999,4.4399999999999995,20.08,47866.9114,9.24,83.80024999999999,0,0,1,0.48834876249367926,4,Standard,🟡 Medium Risk
+9940504906529,100.45,135.44,122.2,3214.5,2,1.65,2,5,3,1,0.003,2,24,311,37.1,1,0.732,1,1,1,40548,80,7,0,2,247.7,20,3,32,4,1,7,0,1,9,296.99,4.65,67.74000000000001,40660.145,10.015,14.8495,0,0,1,0.10721666776299989,0,Digital Power User,🟢 Loyal
+9940702370940,70.13,239.55,81.4,1542.94,2,2.89,1,1,0,2,0.504,2,82,295,39.0,0,0.772,1,1,1,36874,166,7,1,0,224.7,100,2,22,3,0,7,3,0,0,350.38,9.89,62.44,37055.4294,4.52,10.511399999999998,0,0,1,0.21746796390196294,0,Digital Power User,🟢 Loyal
+9940518088718,107.72,291.74,98.36,2692.91,2,1.93,0,4,0,3,0.55,2,44,277,28.3,0,0.453,2,0,0,2400,588,8,1,1,129.1,50,3,25,1,1,4,0,0,3,448.64000000000004,6.93,37.36,3014.9291,5.75,13.459200000000001,0,0,1,0.1939602473097766,3,Standard,🟢 Loyal
+9940506690544,69.45,286.7,82.65,1250.03,2,0.1,1,1,0,3,0.137,2,84,275,35.2,1,0.745,2,1,1,1658,405,4,0,1,282.9,200,2,18,4,1,7,2,0,5,397.47499999999997,3.1,66.1,2075.5003,3.685,15.899,0,0,1,0.20124500790078112,3,Standard,🟢 Loyal
+9940555470642,113.35,268.73,110.77,3287.01,0,1.1,1,1,3,1,0.956,3,59,309,15.9,0,0.3,1,0,0,16631,140,3,2,2,52.1,200,3,29,4,1,2,2,0,3,437.46500000000003,2.1,21.9,16803.8701,14.78,17.4986,0,0,0,0.07241430488538247,1,Standard,🟢 Loyal
+9940774536346,138.12,279.82,173.02,6629.63,1,2.3,1,2,0,1,0.798,1,3,41,34.1,1,0.739,2,1,1,3228,65,3,1,0,146.9,100,1,48,5,0,7,0,0,0,504.45,3.3,64.88,3359.2963,4.99,20.178,1,0,1,0.1093885822154611,3,Standard,🟢 Loyal
+9940702378568,51.19,288.28,79.66,1023.84,2,2.8,1,1,2,2,0.9,2,20,182,25.5,1,0.48,1,0,0,16876,334,7,1,0,166.2,100,1,20,5,1,4,0,1,1,379.29999999999995,4.8,43.1,17220.2384,12.5,18.964999999999996,0,0,1,0.1545469698370857,3,Standard,🟢 Loyal
